author,date,score,review
Judy,a year ago,4,We'd give it five stars if it didn't wrinkle so much. Sheet are very comfortable; we like the elastic on the corners and the orientation labels on the fitted sheet. 
Costco Fan,7 months ago,5,My second purchase of these sheet sets.  One for the house and one set for holiday gift. Very smooth and seasonal transition weight; better for cooler temperatures. 
Babs,10 months ago,5,"Awesome sheets! This is my second set. My husband and I like these sheets better than any others we’ve tried. They are soft, have few wrinkles and are comfortable. "
catwalk70,a year ago,4,Good quality comfortable fabric. But why are hems sewn before side seams? This leaves the sheets and pillowcases short of excellence. Still the best for the price. 
DC44,a year ago,5,These are much heavier than most sheets and will last a long time.   They washed nicely and are soft and comfy.   Love how they fit my super thick bottom mattress. 
Iris Blake,4 months ago,5,"I love the feel and comfort of a good quality cotton and these are excellent.  The natural fiber of cotton breathes, never makes you hot and keeps you comfortable. "
Lynne,11 months ago,5,"You can't find better sheets.  The texture, weight, fit and construction are the best I have ever found.  I only wish there were more colors.  I love these sheets. "
Anonymous,4 months ago,5,Very nice sheets. Came with 4 pillowcases. Sharp  looking piping at the top of the sheet and pillow cases. Elegant slate gray color. Fits the California King well. 
Charles,4 months ago,5,"Although we just recently received this handsomely crafted set, thus far it is the best fitting, most comfortable, and easy to manage sheet set we have ever owned. "
P Austin,9 months ago,3,Washed immediately after taking the sheets out of the packaging. Threads/strings hanging on top sheet at the cuff. Shouldn’t be on a new pair of 800 thread count! 
deerchaser,3 months ago,3,Not the same.  These new sheets are stiff and when removed from packaging have a strange and unpleasant odor.  Hopefully they will soften up after several washes. 
Warren,10 months ago,3,"Very nice feel, heavy weight due to the thread count. I wish the pockets were deeper/longer. With a thick mattress and protection cover, we needed longer pockets. "
MANG,9 months ago,4,They feel thick and were stiff after the first wash but got softer after the second wash. I'm expecting that they will most likely get softer after continued use. 
Vibs,a year ago,5,"These sheets are ,by far, the best I’ve ever owned! In the past I’ve bought much more expensive sheets,but they were never as comfortable as the ones from Costco. "
sandmor,8 months ago,5,These sheets are superb. They are heavier than most and sublimely soft and smooth. They are luxury sheets you would see at hundreds of dollars. A steal at Costco. 
Stan37,8 months ago,5,I purchased these sheets online and I was so impressed with their quality that I purchased another set of the sheets. They are soft and wash well and not wrinkly. 
mecs,9 months ago,5,I NEVER pay this much for sheets but I wanted to see what they were like so I bought a set. I liked them so much that I ordered another set in a different color. 
Warmair,a year ago,5,Great sheets at a great price.  The bottom fitted sheet is very deep for thicker mattresses.  The pillow cases are very large and generous size for King pillows. 
Perfect for our needs,a year ago,5,Great improvement over old sheets. Deep pockets for our very think mattress are perfect and really appreciate the side and bottom/top labels on the fitted sheet. 
Mrs Tim,5 months ago,5,"I love these sheets. They hold up well, are well constructed and are soft, almost satiny. For the price you pay, you get a wonderful sheet set. Great colors too. "
Ed Dan,8 months ago,5,"Very high quality but somewhat on the large side for our king bed.  However, the cost we paid for these is certainly worth considering the quality of the product "
Poolshark,a year ago,5,"Fantastic quality - look almost like satin/silk and feel softer than the 640 count which I always thought were very good - these are even better, great look too. "
BlackCard,a year ago,5,"Extremely soft it feels better than most higher TC at a much higher price level. The materials/cotton used is high quality, excellent buy! Don’t hesitate to buy. "
jbird,9 months ago,5,Such a wonderful feel good cotton. My guest & my adult children & grandchildren asked what sheets I buy. Now they use this brand too. Makes great gifts for them! 
Alicia,a year ago,5,"Love these sheets, they feel soft and smooth.  They wash up well and do not shrink in the dryer.  I recommend these sheets and plan to purchase another set soon. "
Sar1,3 months ago,4,"Very well made, but fabric is a little stiffer than previous sheets I e gotten from Costco by the same maker.  Maybe they will soften up after a few more washes. "
David,a year ago,5,Very high quality - better fabric. Extra long flat sheet allows greater tuck in depth while covering the entire mattress. Silky smooth sheets equal better sleep! 
Kenneth,a year ago,5,Love the feel and size of these sheets.  They have a sateen feel and the more than adequate in terms of size.  Best fitting sheets we've ever owned.  Split-King. 
Ljhen14,9 months ago,2,"The sheets feel wonderful after they were laundered five times. They had a disgusting odor . I would have returned them, but I did eventually get the stink out. "
Kiki,3 months ago,5,The Hotel Signature 800 thread sheets are silky and most importantly fit deep mattresses!  This is the first pair of sheets that don’t slip up from the corners. 
Unhappy purchaser,a year ago,2,These sheets were very disappointing.  I washed them and they were very wrinkled after drying despite being advertised as wrinkle free. They are being returned. 
Breamteam,a year ago,5,Love these sheets. Excellent quality and they are very comfortable and smooth to sleep on. I would recommend this brand to anyone. The sateen finish is perfect. 
seattle,10 months ago,4,We love these sheets. Would have given a 5 but some of the edges have loose threads from not folding accurately. The cotton though is soft and very comfortable. 
Cindy,3 months ago,5,"I've never been fond of sateen finish, but these sheets are very comfortable and not really shiny/slippery.  They are very high quality and pretty heavy fabric "
Angie,4 months ago,5,"The most comfortable sheets! We've had them for a week, and I've been having dreams all week! That's how good i've been sleeping after purchasing these sheets. "
Mamaw45,11 months ago,4,"These are much cheaper than Sleep Number sheets. They fit a split king Sleep Number. They are smooth, but a little heavy. They will be good for cooler weather. "
RDC1,4 months ago,2,"I wanted to love these sheets, but they were a disappointment. They were heavy, scratchy, and noisy. The only positive is color was beautiful. I returned them. "
Jaycee,a month ago,5,I bought the King Blue sheets and they are wonderful. The color is a soft blue and the sheets fit well and are very soft. They wash well. No complaints at all. 
Roxanne,6 days ago,5,Great cotton sheets. They stay cool. Good quality I have 3 sets and have recommended to others 
Jenny,a year ago,5,I use these at my air bnb and I get so many compliments. They do have a few loose threads at first but otherwise seem sturdy. The def feel like hotel quality. 
Kevin K,4 months ago,4,Hotel sheet set was good quality.  Only thing (and I read this after I purchased) was that the blue is more a blue/green. Otherwise they feel giant look good! 
Sassy,4 months ago,5,These sheets are wonderful. They fit well and are easy to put on because of the elastic. My daughters and I have 10 sets between us. The best we’ve ever used. 
Carolton,4 months ago,5,"Great feel that only gets better with every, weekly wash. As with all sheet sets, we wash the set by itself - no other fabrics go in with this load of sheets. "
Peg2,2 months ago,5,"Love these sheets. They're thick, comfortable, they fit my bed like they were made especially for it, and they wash beautifully. Can't ask for more than that. "
Andy Q,a year ago,5,"These sheets are so soft and luxurious especially for the price. They also appear to be long-lasting because of their thickness. However, only time will tell. "
Review Name,a year ago,3,"The sheets are of good quality.  The top sheet is very, very long, at last 2-feet too long.  The fitted sheet is also large is sloppy looking on the mattress. "
Katie W,a year ago,5,Excellent quality! The sheets fit my bed well and feel soft and comfortable. We are happy are so happy with our purchase that we splurged on new pillows too!! 
Helpful wife,3 months ago,5,"These sheets feel like sleeping inside a cloud.  They wash well, retaining a straight top hem.  I will buy them again.  Love the 4 pillow cases in these sets. "
Reny,6 days ago,4,"Love the feel of the sheets, but gave a 4 stars as the fit is a bit loose giving wrinkles in the sheets. "
Catfamily,3 months ago,5,"These are the best all cotton sheets I've purchased.  They washed nicely, but did come out of the dryer wrinkled.  They are nicely made and I like the color. "
Rocket Man,a year ago,5,I'm very satisfied with the quality of these sheets.  I have a very deep (14.5 inches) mattress and the fitted sheet had more than enough material to fit it. 
Lola,a year ago,5,I love these sheets!!! Good quality sheets are a thing that I just recently discovered with these sheet. I have tried other brands and these are my favorite. 
M1ller7ime,a month ago,5,These sheets are made very well and are durable. We have a split king and the sheets fit perfectly. This sheet set is better than hotels and are comfortable. 
Nikobrewster,3 months ago,5,"Best sheets ever. Quality, thick, comfortable and keep you cool. I will only buy these from now one. So pleased with these and was hesitant due to the price. "
NScheel,5 months ago,5,"Rating a set of sheets upon purchase is a bit premature. While the quality and fit of this product is great, the durability is the true test. Time will tell. "
Pkl25,a year ago,5,"I have purchased high end sheets from Boll and Branch, but not only are these cheaper but they are softer and thicker.  Buy them now!  You won't regret it! "
AZbob,8 months ago,5,These sheets are just what I was looking for.  They washed up nicely.  The color is just what I was looking for.  They fit my Amish made mattress perfectly. 
Jenn,4 months ago,3,"The sheets feel very high quality.  They are long enough, but they are not wide enough.  The sheets we ordered are Cal King, and our bed is also a Cal King. "
Wordsmith,5 months ago,4,Have bought HOTEL sheets for several years. My most recent order arrived in new packaging and had a very unpleasant oder. Definitely must wash before using. 
MikeyInOregon,a year ago,4,These sheets are solid and of high quality but even with the high thread count and sateen I’m missing the silky feeling that I get from the Kirkland sheets. 
Tyson,8 months ago,3,A little scratchy was my first impression. Not intolerable. Maybe they will get softer with more washings. I like the Kirkland brand better as of right now. 
Joan,6 days ago,5,These are by far the best sheets purchased. No wrinkles and soft but sturdy fabric. Will buy again! 
Strongrr Wind,a year ago,2,"If you use deep pocket corners for your mattress, these sheets won't fit.  The corners are made very differently so only a single 4"" mattress can only fit. "
Nonnie,a year ago,5,Very pleased with the quality of these sheets. The fabric is heavy enough to feel substantial yet the weave is soft and comfortable. We now own three sets. 
Claudia,9 months ago,5,The bottom sheet's deep pockets fit our mattress without any problem.We really like the feel of the sheets and love that it has four king size pillowcases. 
SampsonDog,a year ago,5,"Really nice texture, super soft and a big upgrade over my prior sheets. Use Downy Fabric Softener to make them smell great :) and make them even softer :) "
Cheryl,9 months ago,5,These sheets seem to be well made and the fabric is very nice. Only time will tell how well they hold up through washings but i suspect they will do well. 
Kaye,a year ago,5,This is my second set of these sheets. They have a  comfortable finish & sheen to them. Nice thick cotton. The fit is perfect. Even for a deep mattress. 
FRANK,2 months ago,2,"Unlike most products we purchase from Costco, these sheets are very poor workmanship.  Loose threads around many of the seams.  We will be returning them. "
Jameyb,a year ago,4,Good quality sheets as advertised. Very good price for how good the sheets are. They fit my queen size bed with the extra thick mattress with no problems. 
Jimmy21,4 months ago,5,"These are really nice sheets!  The feel is smooth and awesome, the fit is great.  I bought two sets, and after trying the first set bought two more sets. "
Anna,5 months ago,5,"I love the feel of these sheets, very luxurious. The size is generous with plenty of room to tuck in and still turn back on top. Corners nicely finished. "
Celia,8 months ago,5,These by far are the best top quality sheets I’ve ever owned.  Wish they were carried at store level.  They really snug the corners of the bed very well. 
Mare,a year ago,5,I bought these as a gift for my daughter. She has raved about them. She said she hasn't slept as well in years! She called them amazing! Best thing ever! 
MaryG,9 months ago,4,Sheets are very nice quality and seem to not wrinkle very much. They are a bit rough and I am hoping that they will get softer with use and more washing. 
Mary,5 months ago,3,"The feel and fit of these sheets are perfect, however after washing as per instructions and making my bed there was a huge flaw in one of the pillowcases "
Kathy54,a year ago,5,"The sheets are soft and comfortable. I bought split king sheets and appreciate that the top sheet is one piece, making it so much easier to make the bed. "
Yanis,9 months ago,5,"I adore these sheets, very soft, the fabric is thick and strong, the finishes are excellent quality, beautiful  package, fast shipping, highly recommend. "
Toni,a year ago,5,We always get our sheets from Costco but this set is the best so far.  The cotton is a perfect weight but actually dries quick.  Great quality and value. 
P Lin,4 months ago,5,"These sheets are delightful, especially if you enjoy high quality sheets to sleep on. And when they have a reduced price. it is foolish not to buy them. "
Brian form Iowa,a month ago,5,WOW! These sheets are a pure pleasurable indulgence. The feel of these sheets makes you want to go to bed to just lay there and enjoy the luxuriousness. 
okcostcofan,a year ago,3,I love these sheets but the workmanship lacks. One of the sheets is unraveling after initial wash. Not sure if I will return them or have them repaired. 
Kim K,a year ago,5,These sheets are the best I have ever bought. I tried really expensive ones but they don’t compare to the quality and softness!  And they don’t wrinkle! 
Wonderleigh,8 months ago,5,We are very pleased with this sheet set. They are smooth and cool and show very little wrinkling. We would buy again if they had other colors available. 
Michelle,3 months ago,5,"High quality and super soft. We’ve had these for about six weeks now, I wash them every week, they fit the sheets well, and they feel like hotel sheets! "
Jackierob,a year ago,5,I read all the reviews - and now I'll join them. Superb sheets! I have to use 100% cotton due to allergies. These are fabulous! Glad I purchased 2 sets. 
CozySheets,a year ago,5,"The sheets are soft, comfortable and easy laundering with little wrinkling.  I would really like more color selection like a pale blue and pale yellow. "
J C Rodriguez,10 months ago,5,These sheets are lovely! The fabric is beautiful and they feel amazing. The blue is more like a soft teal and I LOVE it. I'll be buying more for sure. 
Chas,a year ago,5,Best sheets I have ever slept on.  Originally bought two sets for myself.  I have since bought 2 more sets each for my daughter and 2 more for my son. 
missglou,2 months ago,5,"I have slept so well in these sheets!!!  As I get older, I realize all these little important items that make a big difference.  Happy with my choice! "
Rehearsal Dinner flowers,a year ago,4,"Color (blue) was perfect.  Material is very nice.  I would've given 5 stars, but the sheets came with lots of loose threads along the long side seams. "
SuKo,a year ago,5,Love these sheets!  The fabric is high quality with a smooth feel and significant weight.  These are not those thin sheets that develop holes quickly! 
Gugus,7 months ago,3,"Feels soft and nice but I see lot of pulled threads (got hairy) where the feet are placed. I have not washed the yet, do not sure how it will hold up. "
CeeJay,8 months ago,5,The sheets seem great.  We like the way the corners have the elastic to keep them on the adjustable bed when moving up and down.  They feel luxurious! 
Dana,a year ago,5,"Luxurious sheets! My second pair, I would wash and put them back on (even though In have different sets)so decided to splurge and get another set! ❤️ "
teach68,9 months ago,5,"Wash and dry, look great, very nice. Very comfortable. Great elastic corners and sides with labels as to top/bottom and sides. Nice weight material 😊 "
Aimee,a year ago,5,"We LOVE these sheets! So soft and very well made. Yes, a little stinky out of the package, but one wash completely took care of that. Will buy again! "
Kathy,9 months ago,5,"The best sheets i have, i would recomend these sheets to everyone i know who wants a cotton sheet. Just eish they would come in some different colors "
Kathy,8 months ago,5,These sheets are awesome.   More heavyweight for winter use.   Thick and very comfortable.  Have bought another set for my sisters housewarming gift. 
honeylover,9 months ago,5,"very comfortable. washed before i used them. soft. smooth, extra room for fit so they don’t slip off my thick mattress… love. would buy other colors. "
Airbnb buyer,8 months ago,3,"They have a nice, thick feel but unfortunately the sheet had some small holes so I had to return. Going to stick with a bit lesser of a thread count. "
Madeline and Dave,a year ago,5,"Sheets are great color, wash up great with cold water, dry on the line, and put back on bed. I do this every week and love how long they feel great! "
ElaineE,11 months ago,5,"These sheets feel luxurious... solky smooth but also substantial,  not thin and flimsy. They wrinkled a bit when washed and dried but not too badly. "
The Inspector,11 months ago,5,"I highly recommend these sheets, they are great quality for the price.  California King sheets are hard to find in my state, so we had them shipped. "
HugeFanOfCostco,4 months ago,5,We just purchased our 3rd set of these Hotel Brand sheets. We hope that Costco will always continue to carry them as they are our all time favorite. 
Kim M,9 months ago,5,We love our new sheets! They are very soft and cool to sleep on. They come out of the washer with few wrinkles. There isn’t anything we don’t like!! 
Anne,8 months ago,5,I love these sheets!!!❤️I have a set of the Kirkland 680 thread count and loved those. But these are fantastic.  I sleep so great with these sheets. 
Bec67,9 months ago,4,"The sheets were not very soft, actually kind of scratchy. They’ve been washed several times and they are still the same. Pretty pricey for scratchy. "
KarenS,7 months ago,5,I’ve purchased these sheets multiple times for my vacation home…this set is just for me! Excellent quality and they just get better with every wash. 
T Reynolds,3 months ago,4,Sheets are a little larger in size than expected.  Color is good.  Initial use reflected a good product.  There was some pulled threads upon opening 
Issy,4 months ago,5,"Quality sheets, I’ve purchased a number of these for our AirBNB in Cal-King and Queen. They are washed many times and iron out nicely. Recommended. "
Cecelia,a year ago,3,"The blue that is shown on the website is not true to color. The sheets I got were a very gray blue, not the warm blue that is shown on the website. "
Daveyjones,a year ago,5,Nice sheets.  Fit well and feel great.  The pockets are deep enough to accommodate our deep mattress and have enough elastic to keep them in place. 
CaliforniaPaul,9 months ago,5,"Fantastic sheets! I don't pretend to know the significance of thread count, but 800 is better than 600. Really nice sheets, well made and packaged. "
Celeste,a year ago,5,The feel of these sheets is superior! You can feel the difference in quality compared to other sheets. They have a weight to them and feel amazing. 
Sussie,5 months ago,5,Have not used it yet. Planning to give as a gift.Love that it is 800 thread count. Would have liked it better if there were more color selections. 
RayC,4 months ago,4,"The sheets are made if very high quality fabric, however, some of the seams show fraying which indicates the sewing of the pieces was sub-standard. "
Cali girl,9 months ago,4,The sheets have a slight sheen to them…wish they didn’t.   But have been using them for a few years now and they feel good and wear well… love em! 
beth from Boston,a month ago,5,great product ... a little heavier feeling than the old sateen Kirkland sheets  which I prefer for  feel and durability but these are a good value 
Nicklename,a year ago,3,"They are good sheets, just too expensive, even for Costco. But their Kirkland equivalent is never is stock anymore so I ran out of decent options. "
Sandy,8 months ago,4,The sheets are very soft and wash  nicely with only minimal wrinkles. But I also love costco  680 brand sheets just as much and they are $50 less. 
Happy Listener,a year ago,5,Sheets are very comfortable and fit well. A bit more generous fit than the Kirkland sheets which I have always liked. These may be my new favorite 
LinenSnob,3 months ago,5,"These are the most luxurious sheets.  Soft, yet crisp.  High quality, deep fitted, and i especially appreciate the tags noting top/bottom vs side. "
Rich,3 months ago,5,"Wonderful sheets! We were looking for something soft, cooling & durable and these sheets fit the bill. Loved them so much we ordered a second set. "
BlessedGrandma,a year ago,5,"I love these sheets, they wash well and last a long time. I'm spoiled by this sheet set and don't know what I'd do if Costco stops selling them!!! "
Woodco,4 months ago,5,"Recvd product approx 2 weeks ago, now in full use, through only 1 initial washing. Seems to be a quality material and product promising longevity. "
bunner,a year ago,2,"though the fabric is thick it does not have a lot of body and comes out of the dryer wrinkled and looks worn, was not something I would recommend. "
HollywoodL9,a year ago,5,Silky Smooth Cotton - beautiful cool crisp cotton with soft luxurious feel. The colors are nice. Quality is outstanding and last.  Very well made! 
RolloRN,3 months ago,4,These are very silky pretty sheets Love the blue color. Only issue is pillowcases we’re not finished off nicely(.threads hanging etc) washed up OK 
Richard,a year ago,5,These sheets are pure luxury....I'm so impressed with how thick they are without being hot.  An added bonus is that they came with 4 pillow cases. 
Holly,a year ago,5,"These are the most comfortable sheets ever. They wash and dry well. Love the labels on the sides and top/bottom, makes it easier to make the bed. "
Maryanno,a year ago,5,"Love the sheets. Very soft and silky to the touch.  Very cool, not hot.  Would definitely purchase again. Great customer service, quick delivery. "
charmass,8 months ago,5,I love these sheets!  I’ve been buying sheets at Costco for 30 years!  The threadcount makes them incredibly soft!  Can’t beat the quality/price! 
Kayla,a year ago,5,Soft and comfortable. Seem durable and strong. I have only washed them once and it does look like this material will start to ball up everywhere 
Zoie3,a year ago,5,Top sheet is extra long for tucking in. Fitted sheet is labeled on all sides for direction. Wonderful strength of fabric and smooth pillowcases. 
Avid baker,8 months ago,5,"Silky soft sheets with plenty of coverage for a deep mattress, and generously sized top sheet and pillowcases. Also, the blue color is gorgeous. "
Petert,4 months ago,5,"Excellent quality cotton, hems generous and top and sides marked for the nearly square clif king fitted bottom sheet. Thanks for a great product "
Charlotte,a year ago,5,"These sheets are perfect! Great quality. Very soft and thick. I appreciate the 4 pillowcases. Will buy again, but would like to see more colors. "
Sheri,4 months ago,5,Very satisfied with these sheets. Made well. Just very disappointed that I have to order them due to Costco not carrying the full size in store. 
Kate,a year ago,4,They feel nice and wash up well.  I am not giving a 5 star as the color of the fitted sheet is a bit darker than the pillow cases and top sheet. 
CostcoFan48329,7 months ago,5,These sheets are super comfortable. The thread count assures a satin-like feel for a very reasonable price. Thank you Costco for the great find! 
ColCD,4 months ago,5,We are really happy with these new sheets.  They are easy to launder and fit our mattress really well!  They feel good to sleep on.  A good buy. 
Anonymous,8 months ago,5,Best sheets EVER!!!! They are as soft as butter yet extremely comfortable. You truly feel as if you're sleeping in a 5 Star hotel kinda sheets. 
TAD and AMD,7 months ago,5,Possibly THE best Hotel sheets we have ever purchased. Shipping was better than expected. Great experience. You are going to love these sheets. 
CatW,a year ago,5,"These sheets are soft and a great weight.  They  hold up well, and I highly recommend them. These are the best seats I have purchased anywhere. "
CWilliams,4 months ago,5,The weight and feel of these sheets is exactly what I’ve been looking for. Excellent quality for the price. Thankfully available in split-king! 
Stewart,a year ago,5,They’re durable and soft for a long period of time and many washings. Used first set for four years. Fitted sheet wore out - on second set now. 
Claudia Young,a year ago,5,Costco has been selling this Sheet Set for a while.  This is the third set that I've purchased.  They are soft and luxuriant not flimsy at all. 
SIMI,a year ago,4,"Love these sheets, they fit well, are soft and thick. The only reservation I have is that they tend to get fabric balls on them after some use. "
Jim D,9 months ago,5,"We really like the Kirkland sheets, but haven't been able to get split kings for months now, so tried these...bit more $, but excellent sheets! "
Grant VZ,a year ago,5,I really like these sheets! They are so soft and such an incredible quality! I wish I would have bought a few extra sets. Absolutely love them! 
Randy P,5 months ago,5,I have purchased these sheets before and I love how they fit the bed and how they feel. Washed several times and still look and feel like new. 
Carla,2 months ago,5,"We love our Hotel Signature 800 thread count sheets! Everything you want from sheets, cool, comfortable and durable! And we got them on sale!! "
PaulJ,a year ago,5,"One of my favorite features of these comfortable, well-fitted sheets for cal-king is the label on the fitted sheet that designates top/bottom. "
Susan,5 months ago,5,"These are the best sheets I've ever found.  They aren't carried ""in store"" any longer, so I'm glad I could order them online.  Fast shipping. "
Lisa B,9 months ago,5,"These are amazing sheets. Really thick, smooth, and have elastic all around the edge of the bottom sheet. I expect they will last many years! "
Rachel,a year ago,5,Feels great and you get extra pillowcases. Only con is the pillowcases don’t have the area you can tuck the pillow in but they’re super long. 
Mamaw Brenda,a year ago,2,This set was not as well made as previous sheets. This set came apart at one of the seams and the top sheet has raveled after about 6 washes. 
Lore,a year ago,5,These sheets are the perfect thickness with a natural fiber feel. And they even get better with washings. We immediately bought a second set. 
DonD,9 months ago,5,We ordered 3 sets and had to return one set because of small holes in the fitted sheet. We reordered another set thinking this was a mistake. 
Susank,4 months ago,5,These sheets are great. Tagged with Side/bottom/top. Corners have really good stretch and fit nicely. They feel smooth and silky. Love them! 
Hassy,a year ago,5,They are nice sheets. My cat tries to scratch and doesn't ruin them so pretty strong too.  Expensive but I think they will last a long time. 
Judi,3 months ago,5,Nice texture. Fits well on deep mattresses   Glad to find good sheets for a full size bed   A bit odd? Comes with 4 queens size pillow cases 
Sunshine girl,a year ago,5,These sheets are absolutely PERFECT!!  They wash and come out of the dryer with no wrinkles.The sheets are soft and luxurious to the touch. 
KC21,5 months ago,5,These sheets are nice quality and actually stay in place on my Nectar premium mattress. They feel soft and silky and are really comfortable. 
Vince,4 months ago,5,High-quality linen. Well worth the money I paid. I only wish pillowcases were sold separately since I use king pillows on my queen-size bed. 
Lindy,4 months ago,5,"We are loving these luxurious sheets! They are crisp and also fit great on our bed. They came with 2 extra pillowcases, which is great, too! "
Tammy,9 months ago,5,I was thrilled to see Costco had high quality sheets for split king beds. It's very hard to find complete sets and with a high thread count. 
Janet,a year ago,5,These sheets are so luxurious. They are thick and have a satin feel. I ordered the split king and the corners are gathered for a tight fit. 
Julie,a year ago,5,I love these sheets!  They are soft and fit easily on our deep mattress.  This is my second set and I now only use these sheets on our bed. 
Debr,a year ago,4,We just started using these. they washed up fine and are cozy!  Would like to see how they wear over the long term.  I like the color also. 
Squirrel69,a year ago,5,"I have a king-size, pillow top mattress and these sheets perfectly. I washed and dried as instructed and they came out almost wrinkle free. "
Pat14,4 months ago,5,These deep pocket sheets fit our oversized king mattress and stay down. They are silly soft but 800 count cotton. Colors are beautiful too. 
05hans,8 months ago,4,"Decent material, but the corner elastic is not very strong. Kirkland sheets were a lot better but they are not carrying split king anymore. "
JonC,9 months ago,5,"After several washes, product really continues to feel wonderful. Well made and cooler feel, excellent fit for my cushion top 15” mattress "
Berta,a year ago,5,"These are very nice sheets.  Soft and comfortable, made from good fabric that has nice weight and texture.  Very comfortable for sleeping. "
Qing,4 months ago,2,Good quality cotton. But the craftsmanship is very poor. Had to spend almost half hour to cut all the threads hanging out from the sheets. 
BeachGG,a year ago,5,These are fabulous sheets!!  Great quality and very comfy.  My recent house guest went online while she was here to order the same sheets! 
Missy,a year ago,5,We have been buying these sheets for the last 6 years!  They are the only sheets that have been consistently soft and of the best quality! 
NYC Mom,23 days ago,5,Thick and soft sheets that washed well. Also nice to have it with 4 pillow cases instead of just 2. The medium blue was a very nice color. 
tlmay,a year ago,5,"Love the material, so soft but not thin like some of the cheaper varieties.  Will definitely be purchasing another set to switch out with. "
Rachel,10 months ago,3,I bought 2 sets (grey and blue). The grey was not as soft as the blue set and was coming apart at one of the seams. The blue set is great. 
mjasong,a year ago,5,The sheets are very comfortable and of a good weight.  Definitely quality sheets.  Finding quality sheets for a split king is a challenge. 
Pat B,a year ago,5,"Hi thread count, very nice satin finish. They do not shrink or they are pre-shrunk. I don’t know which 100% cotton and they are wonderful. "
Andi P,4 months ago,4,"Comfortable sheets but they catch and pull, otherwise would give them 5-stars.  They have deep pockets that hold well on cushion-top beds. "
Julie,a year ago,5,"These sheets are outstanding - deep corners to cover thick mattresses, just the right weight to stay comfy yet cool, and wash up like new. "
KristiH,5 months ago,5,"Love these sheets!  They are smooth and soft, but the material has body.  They feel great to sleep on.  I would definitely buy them again! "
Fran,3 months ago,5,Love the sheets so much I bought a second set. they are soft and comfy. They wash well and have deep pockets allow them to stay in place. 
Sandborn,4 months ago,5,"Sheets feel amazing but it fits our king size mattress loosely our delivery took over two weeks to get delivered, but the sheets are good "
HY E,7 months ago,5,After washing the sheets are very smooth with no wrinkles. It is so effortless to make up the bed each morning. I recommend these highly. 
Pgordon,9 months ago,5,Very nice sheets. High thread count and feel is very soft. Above average quality. Several color options. I highly recommend these sheets. 
Matthew,4 months ago,5,I have bought at least 4 sets of these sheets over the last 5 years . I find them to be well made and they fit my Cal King bed very well. 
Dayna,7 months ago,5,"Really like these sheets for their luxurious and smooth touch, and the fresh and cool feel when sleeping. Would purchase again for sure. "
Shopper,a year ago,5,"Love these linens. They have markings to show top and sides. Great feeling on my skin, wash and dry without wrinkles. White stays white. "
Family Shopper,4 months ago,1,The fabric is very itchy even though it feels like a high quality material. I washed the sheets previous to using them as I normally do. 
51nfh,4 months ago,5,Love the feel of these sheets plus wider elastic so they stay put and tags that identify sides from top and bottom. Love the convience! 
Anonymous,21 days ago,5,"These sheets are great. Crisp yet soft. They stay on the mattress which I appreciate. I buy these for my personal home, and our Airbnb. "
Cooking mana,4 months ago,5,"I love them.  They are cool and crisp, easy to wash and dry.  My only complaint is that I didn't order two sets when they were on sale. "
Cooking mana,4 months ago,5,"I love them.  They are cool and crisp, easy to wash and dry.  My only complaint is that I didn't order two sets when they were on sale. "
Cher,9 months ago,5,"These sheets are a nice quality, feel good and I like there are 4 pillow cases. They seem to be a little bit heavier than other sheets. "
J King,9 months ago,5,These sheets are luxurious!  I bought them for the guest room (queen bed) and I'm sorry I didn't catch the sale for our own (king) bed! 
Raquel D,a year ago,5,"These sheets are luxuriously soft, great regarding your body temperature which can change throughout the night. And they are beautiful! "
Mamma C,4 months ago,5,"These sheets are ‘crisp soft’ like a good hotel sheet; not silky soft. They washed up well, no wrinkles. Excellent 800 thread quality. "
YSSS,6 months ago,5,Bought this for my mother. I was pleasantly surprised on how soft they were. Washed and put it on the bed. Mother actually slept well! 
Anonymous,4 months ago,5,Very well made.  Love the tags that show the ends and sides.  The sheets are smooth to the touch with just the right amount of weight. 
Micki,a year ago,3,"Although these have a higher thread count than Kirkland Signature sheeys, they are not as soft. We will go back to,Kirkland Signature. "
Chio,a year ago,4,"They are soft and shiny with little wrinkles after washing, but it creates lint when is in contact with my PJs,  overall good quality "
Cali gramy,a year ago,5,"I love these sheets, deep pockets and added elastic for perfect fit on fitted sheet corners. They are 100% cotton, super comfortable. "
Chris,a year ago,5,"Buy these sheets!You’ll never sleep on anything else!Soft, cool… and a fraction of the department store price!Home run, Costco! "
Cheryl,3 months ago,5,I purchased these sheets when others from Costco began to shred after 6 months. So far these sheets have washed well and remain cool. 
Blondeontour,8 months ago,5,Fabric is top quality at this price point.  Nice to get 4 pillow cases and fitted sheet has a rusched corner to make the fit perfect. 
Deb57,4 months ago,5,These sheets are super soft and feel high end.  They come out of the wash with minimal wrinkles.  I would definitely recommend them! 
afsmw516,4 months ago,5,"Best sheets ever! Thick 100% cotton, washes like a dream, feels great on the skin. I’ve already ordered 2 more sets for another bed. "
wayne,a year ago,5,A little over sized and I love it easy to apply very nice sheets.  100 % cotton. Pillow cases are large too so the pillows fit easy. 
Katt,2 months ago,3,"loose, ripped when my dog jumped on the bed. Not very soft but not rough either. Thick enough to keep you warm in a 69 degree room . "
